2025-11-14 05:43:05,393 - INFO - [spelling] Segment 18 (2-filtered-classes): total = 7, inaccuracies = 0 (0.00%)
2025-11-14 05:43:05,960 - INFO - [spelling] Segment 19 (2-filtered-classes): total = 201, inaccuracies = 1 (0.50%)
2025-11-14 05:43:05,965 - INFO - [spelling] Segment 20 (2-filtered-classes): total = 11, inaccuracies = 0 (0.00%)
2025-11-14 05:43:06,570 - INFO - [spelling] Segment 21 (2-filtered-classes): total = 118, inaccuracies = 1 (0.85%)
2025-11-14 05:43:31,996 - INFO - [spelling] Segment 22 (2-filtered-classes): total = 539, inaccuracies = 9 (1.67%)
2025-11-14 05:43:40,757 - INFO - [spelling] Segment 23 (2-filtered-classes): total = 345, inaccuracies = 10 (2.90%)
2025-11-14 05:43:46,973 - INFO - [spelling] Segment 24 (2-filtered-classes): total = 131, inaccuracies = 0 (0.00%)
2025-11-14 05:43:52,006 - INFO - [spelling] Segment 25 (2-filtered-classes): total = 64, inaccuracies = 2 (3.12%)
2025-11-14 05:43:52,895 - INFO - [spelling] Segment 26 (2-filtered-classes): total = 10, inaccuracies = 1 (10.00%)
2025-11-14 05:44:54,110 - INFO - [spelling] Segment 27 (2-filtered-classes): total = 1834, inaccuracies = 34 (1.85%)
2025-11-14 05:45:12,887 - INFO - [spelling] Segment 28 (2-filtered-classes): total = 121, inaccuracies = 1 (0.83%)
2025-11-14 05:45:15,372 - INFO - [spelling] Segment 29 (2-filtered-classes): total = 179, inaccuracies = 1 (0.56%)
2025-11-14 05:45:18,958 - INFO - [spelling] Segment 30 (2-filtered-classes): total = 33, inaccuracies = 1 (3.03%)
2025-11-14 05:45:25,069 - INFO - [spelling] Segment 31 (2-filtered-classes): total = 23, inaccuracies = 0 (0.00%)
2025-11-14 05:45:33,081 - INFO - [spelling] Segment 32 (2-filtered-classes): total = 54, inaccuracies = 3 (5.56%)
2025-11-14 05:45:40,096 - INFO - [spelling] Segment 33 (2-filtered-classes): total = 57, inaccuracies = 1 (1.75%)
2025-11-14 05:48:48,241 - INFO - [spelling] Segment 34 (2-filtered-classes): total = 2483, inaccuracies = 58 (2.34%)
2025-11-14 05:48:58,774 - INFO - [spelling] Segment 35 (2-filtered-classes): total = 564, inaccuracies = 35 (6.21%)
